Trailer_id,Title,ReleaseYear,Studio,OpeningTheaters,ViewCount,LikeCount,DislikeCount,LikeDislikeRatio,CommentCount,positiveWordsBL,negativeWordsBL,netSentimentBL,scoreAbsoluteAFINN,budget,OpeningWeekendGross,genre,mpaaRating,TotalGross
qmxMAdV6s4U,Game Night,2018,WB (NL),"3,488",8031442,17259,1013,17.04,1029,655,445,210,1176,37000000,"$17,005,332 ",Comedy,R,"$69,001,013 "
LDxgPIsv6sY,Book Club,2018,Par.,"2,781",3211844,11146,1169,9.53,774,678,563,115,633,10000000,"$13,582,231 ",Comedy,PG-13,"$68,566,296 "
w6aYjbpBm-E,Percy Jackson: Sea of Monsters,2013,Fox,"3,031",5499526,22836,1255,18.2,6655,4907,3238,1669,5171,90000000,"$14,401,054 ",Fantasy,PG,"$68,559,554 "
t9QePUT-Yt8,Skyscraper,2018,Uni.,"3,782",23515727,162715,6263,25.98,8733,4312,5221,-909,630,125000000,"$24,905,015 ",Action,PG-13,"$67,796,355 "
mIl-XY9t_Lw,War Room,2015,TriS,"1,135",5646835,20335,1160,17.53017241,2085,1794,1124,670,2686,3000000,"$11,351,389 ",Drama,PG,"$67,790,117 "
acQyrwQyCOk,Insidious: The Last Key,2018,Uni.,"3,116",19678038,116711,4811,24.26,6725,2410,3761,-1351,-515,10000000,"$29,581,355 ",Horror,PG-13,"$67,560,690 "
NIKxDnpaChk,This Is 40,2012,Uni.,"2,912",4797040,4414,642,6.88,475,187,140,47,38,35000000,"$11,579,175 ",Comedy,R,"$67,544,505 "
FRLwoMXaZHQ,A Good Day to Die Hard,2013,Fox,"3,553",5628906,8895,639,13.92018779,2021,1160,1908,-748,-1718,92000000,"$24,834,845 ",Action,R,"$67,349,198 "
6LiKKFZyhRU,Lights Out,2016,WB (NL),"2,818",21214169,69186,3860,17.92,9958,3576,6153,-2577,-3894,4900000,"$21,688,103 ",Horror,PG-13,"$67,268,835 "
s2-1hz1juBI,Hacksaw Ridge,2016,LGF,"2,886",19661801,94862,3185,29.78,13335,9323,5823,3500,8854,40000000,"$15,190,758 ",Drama,R,"$67,209,615 "
Z_dideF5qvk,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,BV,"3,088",6110749,14744,1093,13.49,1597,721,782,-61,317,28000000,"$18,360,230 ",Other,PG,"$66,954,149 "
uIlx5-aGq_A,The House With A Clock In Its Walls,2018,Uni.,"3,592",5055978,51822,2279,22.74,3257,1774,1029,745,2231,42000000,"$26,608,020 ",Fantasy,PG,"$66,822,150 "
3sYntGCj8R0,Contraband,2012,Uni.,"2,863",7402938,3296,1558,2.12,980,439,404,35,217,25000000,"$24,349,815 ",Thriller,R,"$66,528,000 "
2iQuhsmtfHw,Looper,2012,TriS,"2,992",7807094,14551,591,24.62,5019,3829,3500,329,1409,30000000,"$20,801,552 ",Sci-Fi,R,"$66,486,205 "
07s-cNFffDM,Warm Bodies,2013,LG/S,"3,009",14793745,74086,2311,32.06,15233,13447,8863,4584,22662,35000000,"$20,353,967 ",Drama,PG-13,"$66,380,662 "
tE8LEPSTK6A,The Divergent Series: Allegiant,2016,LG/S,"3,740",4477848,17672,1084,16.3,1869,993,831,162,696,10000000,"$29,027,348 ",Action,PG-13,"$66,184,051 "
wbJErcBKLCM,Magic Mike XXL,2015,WB,"3,355",6363306,17438,1052,16.58,863,347,228,119,362,14800000,"$12,857,184 ",Comedy,R,"$66,013,057 "
7Kzbg6bnwFs,Tyler Perry's Madea's Witness Protection,2012,LGF,"2,161",1936078,6761,345,19.6,1237,703,758,-55,892,20000000,"$25,390,575 ",Comedy,PG-13,"$65,653,242 "
KsieadPPvJE,Battleship,2012,Uni.,"3,690",8333486,12563,1097,11.45,3866,2091,2064,27,-277,209000000,"$25,534,825 ",Action,PG-13,"$65,422,625 "
YfQnRjkuvaY,The Visit,2015,Uni.,"3,069",9727481,25728,3035,8.48,6048,2971,4377,-1406,-1130,5000000,"$25,427,560 ",Horror,PG-13,"$65,206,105 "
ng9rjC8MOgU,Jack the Giant Slayer,2013,WB (NL),"3,525",6148089,9048,917,9.87,2109,1469,950,519,1785,195000000,"$27,202,226 ",Adventure,PG-13,"$65,187,603 "
N8b6kVSZNLE,Think Like a Man Too,2014,SGem,"2,225",9526330,23453,3242,7.23,2164,1274,1454,-180,704,24000000,"$29,241,911 ",Comedy,PG-13,"$65,182,182 "
4I8rVcSQbic,Now You See Me 2,2016,LG/S,"3,232",9050985,46279,1172,39.49,3005,1285,766,519,1185,90000000,"$22,383,146 ",Thriller,PG-13,"$65,075,540 "
t-8YsulfxVI,Exodus: Gods and Kings,2014,Fox,"3,503",12902107,24898,3089,8.06,10486,5242,4543,699,5122,140000000,"$24,115,934 ",Drama,PG-13,"$65,014,513 "
YgbH05rQx1s,Mirror Mirror,2012,Rela.,"3,603",2581047,3747,699,5.36,1091,978,638,340,1278,85000000,"$18,132,085 ",Fantasy,PG,"$64,935,167 "
i-M5Qx57_UU,Chronicle (2012),2012,Fox,"2,907",15841143,45915,1416,32.43,14632,7892,6954,938,5941,12000000,"$22,004,098 ",Sci-Fi,PG-13,"$64,575,175 "
K0LLaybEuzA,The Purge,2013,Uni.,"2,536",32924050,107309,7656,14.02,35957,18517,32029,-13512,-31284,3000000,"$34,058,360 ",Thriller,R,"$64,473,115 "
KG5CnCgnplU,The Wedding Ringer,2015,SGem,"3,003",6756418,14664,647,22.66,788,403,451,-48,835,23000000,"$20,649,306 ",Comedy,R,"$64,460,211 "
fq4qP2oSpIA,The Nut Job,2014,ORF,"3,427",3003942,4154,794,5.23,593,415,435,-20,325,42000000,"$19,423,000 ",Animation,PG,"$64,251,541 "
HyLquKn3Swc,Ice Age: Collision Course,2016,Fox,"3,992",12501319,35579,3023,11.77,5054,1996,1664,332,1935,105000000,"$21,373,064 ",Animation,PG,"$64,063,008 "
py5eXSQiGX8,Last Vegas,2013,CBS,"3,065",633230,2411,88,27.4,409,171,168,3,165,28000000,"$16,334,566 ",Comedy,PG-13,"$63,914,167 "
yakeigyf0vc,The Boss,2016,Uni.,"3,480",7557446,29776,1672,17.81,1699,741,786,-45,1111,29000000,"$23,586,645 ",Comedy,R,"$63,285,885 "
